EIIN,Institution_Name,Institution_Type,Management,Establishment_Year,Division,District,Madrasah_Type,College_Type,Computer_Facility_2010,Internet_2010,Year,Total_Students,Female_Students,Disabled_Students,Teachers,TSR,Dropout_Rate,Completion_Rate,Pass_Rate,Computer_Facility,Internet_Access,Electricity_Access,Girls_Toilet,Budget,Community_Contribution,Solar_System,Data_Source,Cluster,Infrastructure_Score
4442476,Ins_280 School,Secondary School,Private,2010,Barishal,Barguna,,,0,0,2010,468,265,21,0.07920792079207921,35.69389300353983,34.69861235072106,65.30138764927894,78.11233993910064,0,0.0,0.7146509200958443,1,0.39063906373593066,1826964.39,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.21908190810558908
4442476,Ins_280 School,Secondary School,Private,2010,Barishal,Barguna,,,0,0,2011,924,616,48,0.2376237623762376,31.14795973549448,42.39461879061043,57.60538120938957,78.77661014491626,0,0.0,0.6964600079621172,1,0.3805334599503676,1784264.42,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.2615538586880551
4442476,Ins_280 School,Secondary School,Private,2010,Barishal,Barguna,,,0,0,2012,803,411,43,0.18811881188118812,32.207367266863166,33.805540976020765,66.19445902397923,87.7387169698972,0,0.0,0.6469099707505737,1,0.6204564736203253,1635573.73,0,"BANBEIS 2021, APSC Report, DPE Statistics",3,0.3666638803745191
4442476,Ins_280 School,Secondary School,Private,2010,Barishal,Barguna,,,0,0,2013,380,191,19,0.07920792079207921,29.0658761031159,24.546606810268734,75.45339318973126,85.35431959948453,0,1.0,0.7932330232795574,1,0.47831317344321356,2711444.74,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.4629189629592306
4442476,Ins_280 School,Secondary School,Private,2010,Barishal,Barguna,,,0,0,2014,800,447,36,0.1683168316831683,35.26314347530951,25.676126919749585,74.32387308025042,85.87882082867301,0,1.0,0.882194581095221,1,0.24721793591852773,1549972.43,1,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.37410401746421434
4442476,Ins_280 School,Secondary School,Private,2010,Barishal,Barguna,,,0,0,2015,405,188,13,0.08910891089108912,27.724936193983748,34.478738237065535,65.52126176293447,80.8767676077358,0,1.0,0.7903582481406681,1,0.24754845633751602,614491.0,0,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.35050690143608476
4442476,Ins_280 School,Secondary School,Private,2010,Barishal,Barguna,,,0,0,2016,356,180,20,0.0693069306930693,28.358149387873397,33.19708960289039,66.80291039710961,89.42791258346067,0,1.0,0.6676316982675169,1,0.2149991380310393,249734.99,0,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.3282916482234405
4442476,Ins_280 School,Secondary School,Private,2010,Barishal,Barguna,,,0,0,2017,650,324,29,0.1683168316831683,28.851432884642495,29.6428490406384,70.3571509593616,84.11647625798997,0,0.0,0.9783260389503324,1,0.5732636245557134,3549394.38,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.3371268617828072
4442476,Ins_280 School,Secondary School,Private,2010,Barishal,Barguna,,,0,0,2018,489,226,32,0.099009900990099,31.628849797233183,27.02402954887873,72.97597045112127,83.28455844072033,0,1.0,1.0,1,0.28163718972548973,538266.79,0,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.3705215651597746
4442476,Ins_280 School,Secondary School,Private,2010,Barishal,Barguna,,,0,0,2019,729,394,46,0.20792079207920794,27.22564244839488,28.76505618634189,71.2349438136581,82.60435691303788,0,1.0,0.880717040268192,1,0.40315465400940315,994189.24,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.463953564628464
